name,phone,email,website,type,address,city,postcode
Haar Atelier Mitte 94,+49 821 59816326,haar-atelier-mitte-94@gmail.com,https://www.haar-atelier-mitte-94.de,Barber,"Goethestraße 1, 86153 Augsburg",Augsburg,86153
Haar Atelier Mitte 99,+49 821 54091307,haar-atelier-mitte-99@gmx.de,,Barber,"Kirchstraße 87, 86154 Augsburg",Augsburg,86154
Haarsalon Augsburg,+49 821 83682090,service@haarsalon-augsburg.de,https://www.haarsalon-augsburg.de,Hairdresser,"Friedrichstraße 37, 86153 Augsburg",Augsburg,86153
Hair & Beauty Augsburg,+49 821 79955090,termin@hair--beauty-augsburg.de,https://www.hair--beauty-augsburg.de,Hairdresser,"Marktplatz 44, 86156 Augsburg",Augsburg,86156
Hair Design City 10,+49 821 26512844,kontakt@hair-design-city-10.de,https://www.hair-design-city-10.de,Hairdresser,"Hauptstraße 88, 86159 Augsburg",Augsburg,86159
Hair Lounge 62,+49 821 79729059,termin@hair-lounge-62.de,https://www.hair-lounge-62.de,Hairdresser,"Münchner Straße 25, 86154 Augsburg",Augsburg,86154
Hair Lounge City 9,+49 821 51794077,salon@hair-lounge-city-9.de,https://www.hair-lounge-city-9.de,Hairdresser,"Hamburger Straße 22, 86150 Augsburg",Augsburg,86150
Herrenfriseur Mitte 10,+49 821 31287937,herrenfriseur-mitte-10@web.de,https://www.herrenfriseur-mitte-10.de,Hairdresser,"Lindenstraße 135, 86154 Augsburg",Augsburg,86154
Herrenfriseur Mitte 60,+49 821 87003436,herrenfriseur-mitte-60@gmail.com,https://www.herrenfriseur-mitte-60.de,Hairdresser,"Hauptstraße 76, 86150 Augsburg",Augsburg,86150
Schnitt & Style City 29,+49 821 39395159,salon@schnitt--style-city-29.de,,Hairdresser,"Goethestraße 15, 86150 Augsburg",Augsburg,86150
Style Studio City 97,+49 821 64007330,termin@style-studio-city-97.de,,Hairdresser,"Münchner Straße 25, 86156 Augsburg",Augsburg,86156
Barber Shop City,+49 30 41271896,service@barber-shop-city.de,https://www.barber-shop-city.de,Barber,"Lindenstraße 39, 10247 Berlin",Berlin,10247
Barber Shop Zentrum,+49 30 71084183,service@barber-shop-zentrum.de,https://www.barber-shop-zentrum.de,Hairdresser,"Kaiserstraße 130, 10249 Berlin",Berlin,10249
Barbier City,+49 30 75490230,barbier-city@gmail.com,https://www.barbier-city.de,Hairdresser,"Kaiserstraße 10, 10247 Berlin",Berlin,10247
Coiffeur Berlin,+49 30 58640500,info@coiffeur-berlin.de,https://www.coiffeur-berlin.de,Hairdresser,"Friedrichstraße 25, 10247 Berlin",Berlin,10247
Friseur,+49 30 23372730,salon@friseur.de,,Barber,"Hamburger Straße 65, 10245 Berlin",Berlin,10245
Friseur Berlin,+49 30 34579843,service@friseur-berlin.de,https://www.friseur-berlin.de,Hairdresser,"Marktplatz 99, 10245 Berlin",Berlin,10245
Frisör,+49 30 86645110,termin@frisr.de,https://www.frisr.de,Hairdresser,"Berliner Straße 55, 10243 Berlin",Berlin,10243
Gentlemen's Cut City,+49 30 84895928,salon@gentlemens-cut-city.de,,Hairdresser,"Lindenstraße 140, 10115 Berlin",Berlin,10115
Haarsalon Berlin,+49 30 11838907,kontakt@haarsalon-berlin.de,https://www.haarsalon-berlin.de,Hairdresser,"Hauptstraße 119, 10179 Berlin",Berlin,10179
Haarsalon Berlin 63,+49 30 37903048,kontakt@haarsalon-berlin-63.de,https://www.haarsalon-berlin-63.de,Hairdresser,"Münchner Straße 95, 10249 Berlin",Berlin,10249
Haarwerk Berlin,+49 30 16945115,haarwerk-berlin@web.de,https://www.haarwerk-berlin.de,Hairdresser,"Kaiserstraße 37, 10179 Berlin",Berlin,10179
Hair & Beauty,+49 30 77486593,hair--beauty@outlook.de,https://www.hair--beauty.de,Hairdresser,"Bahnhofstraße 75, 10243 Berlin",Berlin,10243
Hair & Beauty 25,+49 30 31163082,service@hair--beauty-25.de,https://www.hair--beauty-25.de,Hairdresser,"Kirchstraße 51, 10249 Berlin",Berlin,10249
Hair & Beauty Zentrum,+49 30 82660112,salon@hair--beauty-zentrum.de,https://www.hair--beauty-zentrum.de,Hairdresser,"Goethestraße 94, 10179 Berlin",Berlin,10179
Herrenfriseur City,+49 30 81801460,termin@herrenfriseur-city.de,https://www.herrenfriseur-city.de,Hairdresser,"Hamburger Straße 80, 10115 Berlin",Berlin,10115
Barber 69,+49 521 38131306,barber-69@web.de,https://www.barber-69.de,Hairdresser,"Kirchstraße 6, 33609 Bielefeld",Bielefeld,33609
Barber City 86,+49 521 62284525,salon@barber-city-86.de,https://www.barber-city-86.de,Hairdresser,"Lindenstraße 129, 33602 Bielefeld",Bielefeld,33602
Barber Mitte 10,+49 521 69160775,barber-mitte-10@web.de,https://www.barber-mitte-10.de,Hairdresser,"Marktplatz 30, 33613 Bielefeld",Bielefeld,33613
Barbier Bielefeld,+49 521 12842332,termin@barbier-bielefeld.de,,Barber,"Kölner Straße 22, 33615 Bielefeld",Bielefeld,33615
Coiffeur Bielefeld,+49 521 82191514,kontakt@coiffeur-bielefeld.de,,Barber,"Hamburger Straße 81, 33609 Bielefeld",Bielefeld,33609
Damenfriseur 66,+49 521 56256644,service@damenfriseur-66.de,https://www.damenfriseur-66.de,Hairdresser,"Kaiserstraße 137, 33604 Bielefeld",Bielefeld,33604
Damenfriseur Bielefeld,+49 521 73820115,damenfriseur-bielefeld@gmx.de,https://www.damenfriseur-bielefeld.de,Hairdresser,"Schillerstraße 68, 33607 Bielefeld",Bielefeld,33607
Damenfriseur City 42,+49 521 11938014,service@damenfriseur-city-42.de,https://www.damenfriseur-city-42.de,Barber,"Königstraße 94, 33604 Bielefeld",Bielefeld,33604
Damenfriseur Zentrum 61,+49 521 57065720,termin@damenfriseur-zentrum-61.de,https://www.damenfriseur-zentrum-61.de,Hairdresser,"Kirchstraße 71, 33604 Bielefeld",Bielefeld,33604
Frisör Bielefeld,+49 521 21359670,kontakt@frisr-bielefeld.de,https://www.frisr-bielefeld.de,Hairdresser,"Münchner Straße 6, 33615 Bielefeld",Bielefeld,33615
Gentlemen's Cut Bielefeld,+49 521 20353267,service@gentlemens-cut-bielefeld.de,https://www.gentlemens-cut-bielefeld.de,Barber,"Lindenstraße 23, 33609 Bielefeld",Bielefeld,33609
Hair & Beauty Zentrum 95,+49 521 88497287,info@hair--beauty-zentrum-95.de,,Barber,"Münchner Straße 76, 33615 Bielefeld",Bielefeld,33615
Hair Lounge Mitte 75,+49 521 84049636,hair-lounge-mitte-75@web.de,https://www.hair-lounge-mitte-75.de,Hairdresser,"Kölner Straße 141, 33604 Bielefeld",Bielefeld,33604
Herrenfriseur City 49,+49 521 41549996,service@herrenfriseur-city-49.de,https://www.herrenfriseur-city-49.de,Hairdresser,"Marktplatz 133, 33615 Bielefeld",Bielefeld,33615
Salon Mitte 10,+49 521 64463864,salon@salon-mitte-10.de,,Barber,"Kaiserstraße 91, 33615 Bielefeld",Bielefeld,33615
Schnitt & Style 62,+49 521 78081948,salon@schnitt--style-62.de,https://www.schnitt--style-62.de,Hairdresser,"Schillerstraße 96, 33609 Bielefeld",Bielefeld,33609
Schnitt & Style Bielefeld,+49 521 25985649,termin@schnitt--style-bielefeld.de,https://www.schnitt--style-bielefeld.de,Hairdresser,"Goethestraße 122, 33605 Bielefeld",Bielefeld,33605
Style Studio,+49 521 63581396,termin@style-studio.de,https://www.style-studio.de,Hairdresser,"Goethestraße 146, 33609 Bielefeld",Bielefeld,33609
Barber Zentrum 8,+49 234 73260058,service@barber-zentrum-8.de,,Hairdresser,"Schillerstraße 138, 44793 Bochum",Bochum,44793
Barbier Bochum,+49 234 94440739,kontakt@barbier-bochum.de,https://www.barbier-bochum.de,Hairdresser,"Lindenstraße 65, 44789 Bochum",Bochum,44789
Damenfriseur Bochum,+49 234 33009632,termin@damenfriseur-bochum.de,https://www.damenfriseur-bochum.de,Hairdresser,"Marktplatz 39, 44799 Bochum",Bochum,44799
Friseur 12,+49 234 43807325,info@friseur-12.de,https://www.friseur-12.de,Hairdresser,"Bahnhofstraße 23, 44791 Bochum",Bochum,44791
Friseursalon Zentrum 63,+49 234 73810451,salon@friseursalon-zentrum-63.de,https://www.friseursalon-zentrum-63.de,Hairdresser,"Schillerstraße 44, 44797 Bochum",Bochum,44797
Frisör 55,+49 234 12642934,frisr-55@t-online.de,,Barber,"Kirchstraße 127, 44799 Bochum",Bochum,44799
Gentlemen's Cut Mitte 53,+49 234 25227135,gentlemens-cut-mitte-53@web.de,,Hairdresser,"Friedrichstraße 125, 44793 Bochum",Bochum,44793
Gentlemen's Cut Zentrum 61,+49 234 44510658,gentlemens-cut-zentrum-61@web.de,https://www.gentlemens-cut-zentrum-61.de,Hairdresser,"Kirchstraße 75, 44787 Bochum",Bochum,44787
Haar Atelier Bochum,+49 234 81050883,haar-atelier-bochum@t-online.de,https://www.haar-atelier-bochum.de,Hairdresser,"Schillerstraße 7, 44791 Bochum",Bochum,44791
Haarsalon 92,+49 234 44574128,termin@haarsalon-92.de,https://www.haarsalon-92.de,Hairdresser,"Lindenstraße 50, 44801 Bochum",Bochum,44801
Haarstudio Bochum,+49 234 99917571,kontakt@haarstudio-bochum.de,https://www.haarstudio-bochum.de,Hairdresser,"Berliner Straße 117, 44795 Bochum",Bochum,44795
Haarstudio Mitte 32,+49 234 27262588,termin@haarstudio-mitte-32.de,https://www.haarstudio-mitte-32.de,Hairdresser,"Hauptstraße 115, 44801 Bochum",Bochum,44801
Haarstudio Mitte 67,+49 234 28817165,haarstudio-mitte-67@web.de,https://www.haarstudio-mitte-67.de,Barber,"Königstraße 106, 44787 Bochum",Bochum,44787
Haarwerk Zentrum 60,+49 234 58968938,salon@haarwerk-zentrum-60.de,,Hairdresser,"Hauptstraße 12, 44797 Bochum",Bochum,44797
Hair Design Mitte 79,+49 234 75152377,termin@hair-design-mitte-79.de,,Hairdresser,"Bahnhofstraße 140, 44787 Bochum",Bochum,44787
Herrenfriseur 62,+49 234 42231368,salon@herrenfriseur-62.de,https://www.herrenfriseur-62.de,Hairdresser,"Münchner Straße 143, 44789 Bochum",Bochum,44789
Herrenfriseur Bochum,+49 234 17135538,termin@herrenfriseur-bochum.de,,Hairdresser,"Königstraße 87, 44789 Bochum",Bochum,44789
Schnitt & Style City 72,+49 234 49496369,schnitt--style-city-72@web.de,https://www.schnitt--style-city-72.de,Hairdresser,"Kirchstraße 1, 44789 Bochum",Bochum,44789
Style Studio Mitte 80,+49 234 90201966,kontakt@style-studio-mitte-80.de,https://www.style-studio-mitte-80.de,Hairdresser,"Berliner Straße 72, 44787 Bochum",Bochum,44787
Barber Bonn,+49 228 86428679,barber-bonn@gmail.com,https://www.barber-bonn.de,Hairdresser,"Schillerstraße 39, 53115 Bonn",Bonn,53115
Barber Bonn 69,+49 228 77929763,info@barber-bonn-69.de,https://www.barber-bonn-69.de,Hairdresser,"Goethestraße 124, 53121 Bonn",Bonn,53121
Barber City 47,+49 228 33162244,barber-city-47@t-online.de,https://www.barber-city-47.de,Barber,"Friedrichstraße 96, 53117 Bonn",Bonn,53117
Barber Shop 8,+49 228 77840282,barber-shop-8@gmx.de,https://www.barber-shop-8.de,Hairdresser,"Kirchstraße 76, 53115 Bonn",Bonn,53115
Barbier Bonn,+49 228 66044361,service@barbier-bonn.de,https://www.barbier-bonn.de,Hairdresser,"Hamburger Straße 79, 53117 Bonn",Bonn,53117
Barbier Mitte 68,+49 228 37109540,barbier-mitte-68@gmail.com,,Hairdresser,"Hamburger Straße 70, 53121 Bonn",Bonn,53121
Beauty Salon 16,+49 228 12393936,beauty-salon-16@gmail.com,https://www.beauty-salon-16.de,Hairdresser,"Goethestraße 98, 53121 Bonn",Bonn,53121
Beauty Salon Bonn,+49 228 54605404,salon@beauty-salon-bonn.de,https://www.beauty-salon-bonn.de,Hairdresser,"Kirchstraße 109, 53125 Bonn",Bonn,53125
Friseur Bonn,+49 228 33854231,kontakt@friseur-bonn.de,https://www.friseur-bonn.de,Hairdresser,"Kölner Straße 26, 53117 Bonn",Bonn,53117
Friseur Bonn 16,+49 228 70585282,salon@friseur-bonn-16.de,,Hairdresser,"Schillerstraße 108, 53117 Bonn",Bonn,53117
Friseur City 25,+49 228 30443141,service@friseur-city-25.de,,Hairdresser,"Kölner Straße 62, 53111 Bonn",Bonn,53111
Friseur Zentrum,+49 228 85480975,info@friseur-zentrum.de,https://www.friseur-zentrum.de,Hairdresser,"Lindenstraße 49, 53117 Bonn",Bonn,53117
Friseursalon City 34,+49 228 26359661,friseursalon-city-34@gmail.com,https://www.friseursalon-city-34.de,Barber,"Berliner Straße 4, 53123 Bonn",Bonn,53123
Frisör Zentrum 83,+49 228 68201677,frisr-zentrum-83@web.de,,Hairdresser,"Schillerstraße 118, 53123 Bonn",Bonn,53123
Gentlemen's Cut Bonn,+49 228 23884419,kontakt@gentlemens-cut-bonn.de,,Hairdresser,"Königstraße 150, 53121 Bonn",Bonn,53121
Gentlemen's Cut Bonn 47,+49 228 42884568,gentlemens-cut-bonn-47@web.de,https://www.gentlemens-cut-bonn-47.de,Hairdresser,"Marktplatz 101, 53125 Bonn",Bonn,53125
Haar Atelier Bonn,+49 228 22996851,haar-atelier-bonn@outlook.de,https://www.haar-atelier-bonn.de,Hairdresser,"Friedrichstraße 66, 53117 Bonn",Bonn,53117
Haar Atelier Bonn 25,+49 228 67491773,termin@haar-atelier-bonn-25.de,https://www.haar-atelier-bonn-25.de,Hairdresser,"Königstraße 66, 53111 Bonn",Bonn,53111
Haar Atelier Mitte 36,+49 228 17271788,termin@haar-atelier-mitte-36.de,,Hairdresser,"Bahnhofstraße 67, 53121 Bonn",Bonn,53121
Haarwerk,+49 228 52449847,salon@haarwerk.de,https://www.haarwerk.de,Barber,"Königstraße 98, 53115 Bonn",Bonn,53115
Hair & Beauty Bonn,+49 228 16548165,termin@hair--beauty-bonn.de,,Barber,"Hamburger Straße 104, 53111 Bonn",Bonn,53111
Hair Lounge 83,+49 228 53295765,hair-lounge-83@web.de,https://www.hair-lounge-83.de,Hairdresser,"Goethestraße 40, 53115 Bonn",Bonn,53115
Hair Lounge Mitte 15,+49 228 15963545,kontakt@hair-lounge-mitte-15.de,https://www.hair-lounge-mitte-15.de,Barber,"Kirchstraße 9, 53117 Bonn",Bonn,53117
Hair Lounge Mitte 56,+49 228 51285665,termin@hair-lounge-mitte-56.de,,Barber,"Hauptstraße 131, 53111 Bonn",Bonn,53111
Schnitt & Style City 87,+49 228 38759823,kontakt@schnitt--style-city-87.de,https://www.schnitt--style-city-87.de,Hairdresser,"Königstraße 89, 53125 Bonn",Bonn,53125
Barber Shop 26,+49 531 33051685,barber-shop-26@outlook.de,https://www.barber-shop-26.de,Hairdresser,"Friedrichstraße 43, 38112 Braunschweig",Braunschweig,38112
Barbier Mitte 43,+49 531 47803435,info@barbier-mitte-43.de,https://www.barbier-mitte-43.de,Hairdresser,"Hamburger Straße 122, 38100 Braunschweig",Braunschweig,38100
Barbier Zentrum 83,+49 531 42079222,barbier-zentrum-83@gmx.de,https://www.barbier-zentrum-83.de,Barber,"Münchner Straße 65, 38112 Braunschweig",Braunschweig,38112
Beauty Salon Braunschweig,+49 531 16724593,beauty-salon-braunschweig@gmail.com,https://www.beauty-salon-braunschweig.de,Hairdresser,"Hamburger Straße 94, 38114 Braunschweig",Braunschweig,38114
Coiffeur City 79,+49 531 16537838,coiffeur-city-79@outlook.de,https://www.coiffeur-city-79.de,Hairdresser,"Berliner Straße 81, 38106 Braunschweig",Braunschweig,38106
Damenfriseur 29,+49 531 19518588,kontakt@damenfriseur-29.de,,Hairdresser,"Münchner Straße 32, 38112 Braunschweig",Braunschweig,38112
Damenfriseur Braunschweig,+49 531 63770046,damenfriseur-braunschweig@web.de,https://www.damenfriseur-braunschweig.de,Hairdresser,"Bahnhofstraße 1, 38112 Braunschweig",Braunschweig,38112
Friseursalon Mitte 30,+49 531 82355969,friseursalon-mitte-30@outlook.de,,Barber,"Bahnhofstraße 53, 38110 Braunschweig",Braunschweig,38110
Friseursalon Zentrum 1,+49 531 73584397,salon@friseursalon-zentrum-1.de,https://www.friseursalon-zentrum-1.de,Hairdresser,"Bahnhofstraße 72, 38102 Braunschweig",Braunschweig,38102
Haar Atelier Mitte 49,+49 531 51539083,haar-atelier-mitte-49@t-online.de,https://www.haar-atelier-mitte-49.de,Barber,"Kölner Straße 37, 38100 Braunschweig",Braunschweig,38100
Haarsalon City,+49 531 75938077,haarsalon-city@outlook.de,https://www.haarsalon-city.de,Barber,"Goethestraße 122, 38104 Braunschweig",Braunschweig,38104
Haarstudio 82,+49 531 69766274,salon@haarstudio-82.de,https://www.haarstudio-82.de,Barber,"Kaiserstraße 122, 38108 Braunschweig",Braunschweig,38108
Haarstudio Mitte 19,+49 531 55213164,info@haarstudio-mitte-19.de,https://www.haarstudio-mitte-19.de,Hairdresser,"Königstraße 118, 38114 Braunschweig",Braunschweig,38114
Hair Design Braunschweig,+49 531 56408708,termin@hair-design-braunschweig.de,https://www.hair-design-braunschweig.de,Hairdresser,"Lindenstraße 38, 38112 Braunschweig",Braunschweig,38112
Hair Design Braunschweig 89,+49 531 23415965,hair-design-braunschweig-89@gmail.com,https://www.hair-design-braunschweig-89.de,Hairdresser,"Kaiserstraße 36, 38114 Braunschweig",Braunschweig,38114
Hair Lounge Mitte 20,+49 531 26857868,service@hair-lounge-mitte-20.de,https://www.hair-lounge-mitte-20.de,Hairdresser,"Hauptstraße 137, 38100 Braunschweig",Braunschweig,38100
Salon Braunschweig,+49 531 73522207,termin@salon-braunschweig.de,https://www.salon-braunschweig.de,Hairdresser,"Berliner Straße 136, 38112 Braunschweig",Braunschweig,38112
Salon City 41,+49 531 77467856,kontakt@salon-city-41.de,https://www.salon-city-41.de,Barber,"Kölner Straße 25, 38100 Braunschweig",Braunschweig,38100
Salon Mitte 47,+49 531 66770255,salon-mitte-47@outlook.de,https://www.salon-mitte-47.de,Hairdresser,"Kirchstraße 65, 38112 Braunschweig",Braunschweig,38112
Schnitt & Style 26,+49 531 62406575,service@schnitt--style-26.de,,Hairdresser,"Berliner Straße 123, 38114 Braunschweig",Braunschweig,38114
Schnitt & Style 85,+49 531 53225791,info@schnitt--style-85.de,https://www.schnitt--style-85.de,Barber,"Königstraße 126, 38110 Braunschweig",Braunschweig,38110
Barber Bremen,+49 421 58344545,barber-bremen@web.de,https://www.barber-bremen.de,Hairdresser,"Bahnhofstraße 136, 28197 Bremen",Bremen,28197
Barbier City 14,+49 421 11295800,termin@barbier-city-14.de,https://www.barbier-city-14.de,Hairdresser,"Berliner Straße 82, 28197 Bremen",Bremen,28197
Beauty Salon 7,+49 421 31897403,beauty-salon-7@t-online.de,https://www.beauty-salon-7.de,Barber,"Kölner Straße 28, 28201 Bremen",Bremen,28201
Beauty Salon 82,+49 421 69794902,termin@beauty-salon-82.de,https://www.beauty-salon-82.de,Barber,"Friedrichstraße 31, 28197 Bremen",Bremen,28197
Damenfriseur Bremen,+49 421 59567104,termin@damenfriseur-bremen.de,https://www.damenfriseur-bremen.de,Barber,"Marktplatz 86, 28201 Bremen",Bremen,28201
Damenfriseur Bremen 62,+49 421 59416835,damenfriseur-bremen-62@web.de,https://www.damenfriseur-bremen-62.de,Hairdresser,"Lindenstraße 122, 28201 Bremen",Bremen,28201
Friseur Bremen,+49 421 98920004,salon@friseur-bremen.de,,Hairdresser,"Kaiserstraße 96, 28199 Bremen",Bremen,28199
Friseur Mitte 32,+49 421 66165062,salon@friseur-mitte-32.de,https://www.friseur-mitte-32.de,Hairdresser,"Bahnhofstraße 44, 28201 Bremen",Bremen,28201
Friseursalon Bremen,+49 421 31365744,friseursalon-bremen@gmx.de,,Hairdresser,"Berliner Straße 124, 28203 Bremen",Bremen,28203
Friseursalon Bremen 72,+49 421 20341949,kontakt@friseursalon-bremen-72.de,https://www.friseursalon-bremen-72.de,Barber,"Hauptstraße 55, 28201 Bremen",Bremen,28201
Haarsalon Mitte 31,+49 421 25131445,kontakt@haarsalon-mitte-31.de,https://www.haarsalon-mitte-31.de,Barber,"Berliner Straße 98, 28199 Bremen",Bremen,28199
Haarstudio Bremen,+49 421 91357391,termin@haarstudio-bremen.de,https://www.haarstudio-bremen.de,Hairdresser,"Kaiserstraße 99, 28199 Bremen",Bremen,28199
Haarstudio Mitte 33,+49 421 51666474,termin@haarstudio-mitte-33.de,https://www.haarstudio-mitte-33.de,Hairdresser,"Münchner Straße 30, 28207 Bremen",Bremen,28207
Hair & Beauty Mitte,+49 421 60807776,info@hair--beauty-mitte.de,,Hairdresser,"Goethestraße 110, 28199 Bremen",Bremen,28199
Hair Lounge City 4,+49 421 77180276,termin@hair-lounge-city-4.de,https://www.hair-lounge-city-4.de,Hairdresser,"Kirchstraße 81, 28203 Bremen",Bremen,28203
Hair Lounge Mitte 1,+49 421 14351008,info@hair-lounge-mitte-1.de,https://www.hair-lounge-mitte-1.de,Hairdresser,"Kirchstraße 117, 28205 Bremen",Bremen,28205
Schnitt & Style Bremen,+49 421 33121711,schnitt--style-bremen@outlook.de,https://www.schnitt--style-bremen.de,Hairdresser,"Münchner Straße 44, 28209 Bremen",Bremen,28209
Schnitt & Style Bremen 60,+49 421 36798804,schnitt--style-bremen-60@outlook.de,https://www.schnitt--style-bremen-60.de,Hairdresser,"Lindenstraße 83, 28195 Bremen",Bremen,28195
Schnitt & Style City 58,+49 421 17601201,info@schnitt--style-city-58.de,https://www.schnitt--style-city-58.de,Hairdresser,"Kölner Straße 116, 28209 Bremen",Bremen,28209
Schnitt & Style Mitte 24,+49 421 74618251,service@schnitt--style-mitte-24.de,https://www.schnitt--style-mitte-24.de,Barber,"Kölner Straße 49, 28209 Bremen",Bremen,28209
Schnitt & Style Zentrum 35,+49 421 87788321,schnitt--style-zentrum-35@gmail.com,https://www.schnitt--style-zentrum-35.de,Hairdresser,"Kirchstraße 48, 28205 Bremen",Bremen,28205
Style Studio City 87,+49 421 75524577,style-studio-city-87@gmail.com,,Barber,"Hamburger Straße 141, 28195 Bremen",Bremen,28195
Barber Chemnitz,+49 371 33491553,termin@barber-chemnitz.de,https://www.barber-chemnitz.de,Hairdresser,"Schillerstraße 64, 09120 Chemnitz",Chemnitz,09120
Barbier Chemnitz,+49 371 85508292,salon@barbier-chemnitz.de,https://www.barbier-chemnitz.de,Hairdresser,"Kölner Straße 84, 09114 Chemnitz",Chemnitz,09114
Coiffeur City 36,+49 371 61454782,kontakt@coiffeur-city-36.de,,Hairdresser,"Berliner Straße 79, 09117 Chemnitz",Chemnitz,09117
Friseur Zentrum 92,+49 371 47536158,salon@friseur-zentrum-92.de,https://www.friseur-zentrum-92.de,Barber,"Bahnhofstraße 83, 09117 Chemnitz",Chemnitz,09117
Frisör Chemnitz,+49 371 82191720,termin@frisr-chemnitz.de,https://www.frisr-chemnitz.de,Hairdresser,"Marktplatz 93, 09111 Chemnitz",Chemnitz,09111
Haar Atelier 73,+49 371 57030955,haar-atelier-73@gmail.com,https://www.haar-atelier-73.de,Hairdresser,"Berliner Straße 131, 09113 Chemnitz",Chemnitz,09113
Haar Atelier Zentrum 1,+49 371 12435458,kontakt@haar-atelier-zentrum-1.de,https://www.haar-atelier-zentrum-1.de,Hairdresser,"Friedrichstraße 7, 09116 Chemnitz",Chemnitz,09116
